# score_time, perf_time
1.811156462585034177e+01,1.295092970521542100e+02
1.812317460317460416e+01,1.295209070294784510e+02
1.813478458049886655e+01,1.295325170068027205e+02
1.814639455782312893e+01,1.295441269841269900e+02
1.815800453514739132e+01,1.295557369614512595e+02
1.816961451247165726e+01,1.295673469387755006e+02
1.818122448979591965e+01,1.295789569160997701e+02
1.819283446712018204e+01,1.295905668934240396e+02
1.820444444444444443e+01,1.296021768707483091e+02
1.821605442176870682e+01,1.296137868480725786e+02
1.822766439909296921e+01,1.296253968253968196e+02
1.823927437641723515e+01,1.296370068027210891e+02
1.825088435374149753e+01,1.296486167800453586e+02
1.826249433106575992e+01,1.296602267573696281e+02
1.827410430839002231e+01,1.296718367346938692e+02
1.828571428571428470e+01,1.296834467120181387e+02
1.829732426303855064e+01,1.296950566893424082e+02
1.830893424036281303e+01,1.297066666666666777e+02
1.832054421768707542e+01,1.297182766439909187e+02
1.833215419501133780e+01,1.297298866213151882e+02
1.834376417233560019e+01,1.297414965986394577e+02
1.835537414965986258e+01,1.297531065759637272e+02
1.836698412698412852e+01,1.297647165532879967e+02
1.837859410430839091e+01,1.297763265306122378e+02
1.839020408163265330e+01,1.297879365079365073e+02
1.840181405895691569e+01,1.297995464852607768e+02
1.841342403628117808e+01,1.298111564625850463e+02
1.842503401360544402e+01,1.298227664399092873e+02
1.843664399092970640e+01,1.298343764172335568e+02
1.844825396825396879e+01,1.298459863945578263e+02
1.845986394557823118e+01,1.298575963718820958e+02
1.847147392290249357e+01,1.298692063492063653e+02
1.848308390022675951e+01,1.301594557823129321e+02
1.849469387755102190e+01,1.301710657596372016e+02
1.850630385487528429e+01,1.301826757369614427e+02
1.851791383219954668e+01,1.301942857142857122e+02
1.852952380952380906e+01,1.302058956916099817e+02
1.854113378684807145e+01,1.302175056689342512e+02
1.855274376417233739e+01,1.302291156462584922e+02
1.856435374149659978e+01,1.302407256235827617e+02
1.857596371882086217e+01,1.302523356009070312e+02
1.858757369614512456e+01,1.302639455782313007e+02
1.859918367346938695e+01,1.302755555555555702e+02
1.861079365079365289e+01,1.302871655328798113e+02
1.862240362811791528e+01,1.302987755102040808e+02
1.863401360544217766e+01,1.303103854875283503e+02
1.864562358276644005e+01,1.303219954648526198e+02
1.865723356009070244e+01,1.303336054421768608e+02
1.866884353741496483e+01,1.303452154195011303e+02
1.868045351473923077e+01,1.303568253968253998e+02
1.869206349206349316e+01,1.303684353741496693e+02
1.870367346938775555e+01,1.303800453514739388e+02
1.871528344671201793e+01,1.303916553287981799e+02
1.872689342403628032e+01,1.304032653061224494e+02
1.873850340136054626e+01,1.304148752834467189e+02
1.875011337868480865e+01,1.304264852607709884e+02
1.876172335600907104e+01,1.304380952380952294e+02
1.877333333333333343e+01,1.304497052154194989e+02
1.878494331065759582e+01,1.304613151927437684e+02
1.879655328798185820e+01,1.304729251700680379e+02
1.880816326530612415e+01,1.304845351473922790e+02
1.881977324263038653e+01,1.304961451247165485e+02
1.883138321995464892e+01,1.305077551020408180e+02
1.884299319727891131e+01,1.305193650793650875e+02
1.885460317460317370e+01,1.305309750566893570e+02
1.886621315192743964e+01,1.305425850340135980e+02
1.887782312925170203e+01,1.305541950113378675e+02
1.888943310657596442e+01,1.305658049886621370e+02
1.890104308390022680e+01,1.305774149659864065e+02
1.891265306122448919e+01,1.305890249433106476e+02
1.892426303854875158e+01,1.306006349206349171e+02
1.893587301587301752e+01,1.306122448979591866e+02
1.894748299319727991e+01,1.306238548752834561e+02
1.895909297052154230e+01,1.306354648526077256e+02
1.897070294784580469e+01,1.306470748299319666e+02
1.898231292517006707e+01,1.306586848072562361e+02
1.899392290249433302e+01,1.306702947845805056e+02
1.900553287981859540e+01,1.306819047619047751e+02
1.901714285714285779e+01,1.306935147392290162e+02
1.902875283446712018e+01,1.307051247165532857e+02
1.904036281179138257e+01,1.307167346938775552e+02
1.905197278911564496e+01,1.307283446712018247e+02
1.906358276643991090e+01,1.307399546485260657e+02
1.907519274376417329e+01,1.307515646258503352e+02
1.908680272108843567e+01,1.307631746031746047e+02
1.909841269841269806e+01,1.307747845804988742e+02
1.911002267573696045e+01,1.307863945578231437e+02
1.912163265306122639e+01,1.307980045351473848e+02
1.913324263038548878e+01,1.308096145124716543e+02
1.914485260770975117e+01,1.308212244897959238e+02
1.915646258503401356e+01,1.308328344671201933e+02
1.916807256235827595e+01,1.308444444444444343e+02
1.917968253968253833e+01,1.308560544217687038e+02
1.919129251700680427e+01,1.308676643990929733e+02
1.920290249433106666e+01,1.308792743764172428e+02
1.921451247165532905e+01,1.308908843537415123e+02
1.922612244897959144e+01,1.309024943310657534e+02
1.923773242630385383e+01,1.309141043083900229e+02
1.924934240362811977e+01,1.309257142857142924e+02
1.926095238095238216e+01,1.309373242630385619e+02
1.927256235827664455e+01,1.309489342403628029e+02
1.928417233560090693e+01,1.309605442176870724e+02
1.929578231292516932e+01,1.309721541950113419e+02
1.930739229024943526e+01,1.309837641723356114e+02
1.931900226757369765e+01,1.309953741496598525e+02
1.933061224489796004e+01,1.310069841269841220e+02
1.934222222222222243e+01,1.310185941043083915e+02
1.935383219954648482e+01,1.310302040816326610e+02
1.936544217687074720e+01,1.310418140589569305e+02
1.937705215419501314e+01,1.310534240362811715e+02
1.938866213151927553e+01,1.310650340136054410e+02
1.940027210884353792e+01,1.310766439909297105e+02
1.941188208616780031e+01,1.310882539682539800e+02
1.942349206349206270e+01,1.310998639455782211e+02
1.943510204081632864e+01,1.311114739229024906e+02
1.944671201814059103e+01,1.311230839002267601e+02
1.945832199546485342e+01,1.311346938775510296e+02
1.946993197278911580e+01,1.311463038548752991e+02
1.948154195011337819e+01,1.311579138321995401e+02
1.949315192743764058e+01,1.311695238095238096e+02
1.950476190476190652e+01,1.311811337868480791e+02
1.951637188208616891e+01,1.311927437641723486e+02
1.952798185941043130e+01,1.312043537414965897e+02
1.953959183673469369e+01,1.312159637188208592e+02
1.955120181405895607e+01,1.312275736961451287e+02
1.956281179138322202e+01,1.312391836734693982e+02
1.957442176870748440e+01,1.312507936507936677e+02
1.958603174603174679e+01,1.312624036281179087e+02
1.959764172335600918e+01,1.312740136054421782e+02
1.960925170068027157e+01,1.312856235827664477e+02
1.962086167800453396e+01,1.312972335600907172e+02
1.963247165532879990e+01,1.313088435374149583e+02
1.964408163265306229e+01,1.313204535147392278e+02
1.965569160997732467e+01,1.313320634920634973e+02
1.966730158730158706e+01,1.313436734693877668e+02
1.967891156462584945e+01,1.313552834467120078e+02
1.969052154195011539e+01,1.313668934240362773e+02
1.970213151927437778e+01,1.313785034013605468e+02
1.971374149659864017e+01,1.313901133786848163e+02
1.972535147392290256e+01,1.314017233560090858e+02
1.973696145124716494e+01,1.314133333333333269e+02
1.974857142857142733e+01,1.314249433106575964e+02
1.976018140589569327e+01,1.314365532879818659e+02
1.977179138321995566e+01,1.314481632653061354e+02
1.978340136054421805e+01,1.314597732426303764e+02
1.979501133786848044e+01,1.314713832199546459e+02
1.980662131519274283e+01,1.314829931972789154e+02
1.981823129251700877e+01,1.314946031746031849e+02
1.982984126984127116e+01,1.315062131519274544e+02
1.984145124716553354e+01,1.315178231292516955e+02
1.985306122448979593e+01,1.315294331065759650e+02
1.986467120181405832e+01,1.315410430839002345e+02
1.987628117913832071e+01,1.315526530612245040e+02
1.988789115646258665e+01,1.315642630385487450e+02
1.989950113378684904e+01,1.315758730158730145e+02
1.991111111111111143e+01,1.315874829931972840e+02
1.992272108843537382e+01,1.315990929705215535e+02
1.993433106575963620e+01,1.316107029478457946e+02
1.994594104308390214e+01,1.316223129251700641e+02
1.995755102040816453e+01,1.316339229024943336e+02
1.996916099773242692e+01,1.316455328798186031e+02
1.998077097505668931e+01,1.317384126984127022e+02
1.999238095238095170e+01,1.317500226757369717e+02
2.000399092970521409e+01,1.317616326530612412e+02
2.001560090702948003e+01,1.317732426303854822e+02
2.002721088435374241e+01,1.317848526077097517e+02
2.003882086167800480e+01,1.317964625850340212e+02
2.005043083900226719e+01,1.318080725623582907e+02
2.006204081632652958e+01,1.318196825396825318e+02
2.007365079365079552e+01,1.318312925170068013e+02
2.008526077097505791e+01,1.318429024943310708e+02
2.009687074829932030e+01,1.318545124716553403e+02
2.010848072562358269e+01,1.318661224489795813e+02
2.012009070294784507e+01,1.318777324263038508e+02
2.013170068027211101e+01,1.318893424036281203e+02
2.014331065759637340e+01,1.319009523809523898e+02
2.015492063492063579e+01,1.319125623582766593e+02
2.016653061224489818e+01,1.319241723356009004e+02
2.017814058956916057e+01,1.319357823129251699e+02
2.018975056689342296e+01,1.319473922902494394e+02
2.020136054421768890e+01,1.319590022675737089e+02
2.021297052154195129e+01,1.319706122448979499e+02
2.022458049886621367e+01,1.319822222222222194e+02
2.023619047619047606e+01,1.319938321995464889e+02
2.024780045351473845e+01,1.320054421768707584e+02
2.025941043083900439e+01,1.320170521541950279e+02
2.027102040816326678e+01,1.320286621315192690e+02
2.028263038548752917e+01,1.320402721088435385e+02
2.029424036281179156e+01,1.320518820861678080e+02
2.030585034013605394e+01,1.320634920634920775e+02
2.031746031746031633e+01,1.320751020408163185e+02
2.032907029478458227e+01,1.320867120181405880e+02
2.034068027210884466e+01,1.320983219954648575e+02
2.035229024943310705e+01,1.321099319727891270e+02
2.036390022675736944e+01,1.321215419501133681e+02
2.037551020408163183e+01,1.321331519274376376e+02
2.038712018140589777e+01,1.321447619047619071e+02
2.039873015873016016e+01,1.321563718820861766e+02
2.041034013605442254e+01,1.321679818594104461e+02
2.042195011337868493e+01,1.321795918367346871e+02
2.043356009070294732e+01,1.321912018140589566e+02
2.044517006802720971e+01,1.322028117913832261e+02
2.045678004535147565e+01,1.322144217687074956e+02
2.046839002267573804e+01,1.322260317460317367e+02
